virus,location,strain,year,accession_number,collection_date,area
hCoV-19,USA,CA-CZB-2021,2020,EPI_ISL_486273,2020-05-04,NorthAmerica
hCoV-19,Wuhan,WIV04,2019,EPI_ISL_402124,2019-12-30,China
hCoV-19,India,GJ-GBRC99,2020,EPI_ISL_450788,2020-05-06,Asia
hCoV-19,England,NORW-ED3E2,2020,EPI_ISL_472362,2020-06-01,Europe
hCoV-19,Hong Kong,HKU-200723-098,2020,EPI_ISL_497865,2020-04-14,Asia
hCoV-19,Scotland,EDB5128,2020,EPI_ISL_456977,2020-05-17,Europe
hCoV-19,Germany,NW-HHU-42-2,2020,EPI_ISL_425127,2020-03-19,Europe
hCoV-19,USA,MI-UM-2006S000856,2020,EPI_ISL_484713,2020-03-31,NorthAmerica
hCoV-19,England,BRIS-12705D,2020,EPI_ISL_469641,2020-04-23,Europe
hCoV-19,Australia,VIC2012,2020,EPI_ISL_480654,2020-06-01,Oceania
hCoV-19,England,CAMB-1B5018,2020,EPI_ISL_477811,2020-06-21,Europe
hCoV-19,England,QEUH-7A8FF7,2020,EPI_ISL_533042,2020-07-08,Europe
hCoV-19,USA,MN-MDH-1362,2020,EPI_ISL_507951,2020-04-22,NorthAmerica
hCoV-19,England,20226015704,2020,EPI_ISL_528932,2020-05-19,Europe
hCoV-19,England,PRIN-254BD34,2020,EPI_ISL_509443,2020-05-08,Europe
hCoV-19,USA,WA-S395,2020,EPI_ISL_434155,2020-03-30,NorthAmerica
hCoV-19,Australia,VIC5929,2020,EPI_ISL_518708,2020-07-19,Oceania
hCoV-19,England,LIVE-A8037,2020,EPI_ISL_517105,2020-03-26,Europe
hCoV-19,Canada,QC-LSPQ-L00232073,2020,EPI_ISL_535973,2020-03-22,NorthAmerica
hCoV-19,England,QEUH-960B5F,2020,EPI_ISL_532066,2020-08-04,Europe
hCoV-19,USA,WI-UW-746,2020,EPI_ISL_491419,2020-07-02,NorthAmerica
hCoV-19,Scotland,EDB1105,2020,EPI_ISL_433396,2020-04-08,Europe
hCoV-19,Australia,VIC4250,2020,EPI_ISL_519578,2020-07-13,Oceania
hCoV-19,Australia,VIC6416,2020,EPI_ISL_521208,2020-07-23,Oceania
hCoV-19,USA,WI-UW-372,2020,EPI_ISL_480354,2020-05-20,NorthAmerica
hCoV-19,Wales,PHWC-29D37,2020,EPI_ISL_474249,2020-04-02,Europe
hCoV-19,USA,CA-CZB043,2020,EPI_ISL_429048,2020-03-25,NorthAmerica
hCoV-19,Wuhan,HB-WH2-165,2020,EPI_ISL_455375,2020-02-11,Asia
hCoV-19,England,EXET-1361D0,2020,EPI_ISL_457209,2020-04-14,Europe
hCoV-19,USA,FL-Miami-06_UMTL-A3MJ,2020,EPI_ISL_479766,2020-04-09,NorthAmerica
hCoV-19,USA,CA-ALSR-1120,2020,EPI_ISL_494373,2020-04-03,NorthAmerica
hCoV-19,USA,WA-S1759,2020,EPI_ISL_496185,2020-06-01,NorthAmerica
hCoV-19,Canada,BC_07911261,2020,EPI_ISL_477095,2020-04-00,NorthAmerica
hCoV-19,USA,CT-Yale-120,2020,EPI_ISL_431084,2020-04-11,NorthAmerica
hCoV-19,USA,FL-UF-18,2020,EPI_ISL_468722,2020-04-09,NorthAmerica
hCoV-19,Spain,CL-IBV-97006173,2020,EPI_ISL_537320,2020-04-06,Europe
hCoV-19,Australia,VIC5094,2020,EPI_ISL_519897,2020-07-19,Oceania
hCoV-19,England,NORT-281409,2020,EPI_ISL_488770,2020-03-14,Europe
hCoV-19,Australia,VIC2065,2020,EPI_ISL_480755,2020-06-15,Oceania
hCoV-19,Denmark,ALAB-HH-113,2020,EPI_ISL_451997,2020-03-09,Europe
hCoV-19,Canada,NS_60,2020,EPI_ISL_482476,2020-03-17,NorthAmerica
hCoV-19,Wales,PHWC-275AA,2020,EPI_ISL_431975,2020-03-31,Europe
hCoV-19,Scotland,GCVR-16FA4C,2020,EPI_ISL_489688,2020-03-17,Europe
hCoV-19,England,201080024,2020,EPI_ISL_464430,2020-03-05,Europe
hCoV-19,USA,WA-UW-3849,2020,EPI_ISL_486094,2020-03-26,NorthAmerica
hCoV-19,England,GSTT-265DFA1,2020,EPI_ISL_484133,2020-03-29,Europe
hCoV-19,Australia,VIC4509,2020,EPI_ISL_518920,2020-07-17,Oceania
hCoV-19,USA,UT-UPHL-2008771,2020,EPI_ISL_524804,2020-06-01,NorthAmerica
hCoV-19,Canada,Qc-L00240893,2020,EPI_ISL_465692,2020-03-27,NorthAmerica
hCoV-19,Wales,PHWC-30993,2020,EPI_ISL_446300,2020-04-08,Europe
hCoV-19,England,20182006804,2020,EPI_ISL_465445,2020-04-27,Europe
hCoV-19,USA,VA-DCLS-0602,2020,EPI_ISL_526819,2020-03-29,NorthAmerica
hCoV-19,England,BRIS-121BF8,2020,EPI_ISL_440165,2020-03-17,Europe
hCoV-19,India,PB-NCDC-01538,2020,EPI_ISL_435062,2020-03-16,Asia
hCoV-19,Hong Kong,HKU-200723-086,2020,EPI_ISL_497853,2020-07-12,Asia
hCoV-19,Nigeria,ON191-CV49,2020,EPI_ISL_487106,2020-06-30,Africa
hCoV-19,USA,WA-UW-6335,2020,EPI_ISL_430969,2020-04-02,NorthAmerica
hCoV-19,USA,WY-WYPHL-00060,2020,EPI_ISL_462952,2020-03-26,NorthAmerica
hCoV-19,Switzerland,BS-ETHZ-200066,2020,EPI_ISL_510747,2020-07-15,Europe
hCoV-19,Switzerland,BS-UHB-42201261,2020,EPI_ISL_528287,2020-03-21,Europe
hCoV-19,USA,WA-S2073,2020,EPI_ISL_497501,2020-06-05,NorthAmerica
hCoV-19,Switzerland,SZ-ETHZ-200046,2020,EPI_ISL_510731,2020-07-10,Europe
hCoV-19,England,BRIS-18539BD,2020,EPI_ISL_492430,2020-04-16,Europe
hCoV-19,Netherlands,NA_655,2020,EPI_ISL_461090,2020-00-00,Europe
hCoV-19,Portugal,PT1412,2020,EPI_ISL_511371,2020-03-25,Europe
hCoV-19,USA,WA-S2532,2020,EPI_ISL_497164,2020-06-15,NorthAmerica
hCoV-19,USA,NY-NYUMC171,2020,EPI_ISL_426626,2020-04-01,NorthAmerica
hCoV-19,Australia,VIC5585,2020,EPI_ISL_518402,2020-07-19,Oceania
hCoV-19,England,LOND-12609C2,2020,EPI_ISL_516861,2020-04-04,Europe
hCoV-19,Brazil,RJ-UFRJ-32317,2020,EPI_ISL_492040,2020-04-30,SouthAmerica
hCoV-19,England,CAMB-77BD6,2020,EPI_ISL_440833,2020-04-03,Europe
hCoV-19,USA,TX-HMH0130,2020,EPI_ISL_434830,2020-03-21,NorthAmerica
hCoV-19,Spain,AN-IBV-98002907,2020,EPI_ISL_538681,2020-03-18,Europe
hCoV-19,Australia,QLD971,2020,EPI_ISL_530235,2020-04-11,Oceania
hCoV-19,England,CAMB-1ABD1E,2020,EPI_ISL_470192,2020-04-21,Europe
hCoV-19,Netherlands,ZH-EMC-460,2020,EPI_ISL_523797,2020-08-12,Europe
hCoV-19,DRC,3787,2020,EPI_ISL_447241,2020-04-24,Africa
hCoV-19,England,QEUH-5EDAAC,2020,EPI_ISL_533258,2020-06-16,Europe
hCoV-19,USA,NY-NYUMC155,2020,EPI_ISL_424962,2020-04-01,NorthAmerica
hCoV-19,India,WB-S64,2020,EPI_ISL_508454,2020-05-24,Asia
hCoV-19,USA,CA-CSMC32,2020,EPI_ISL_475643,2020-04-13,NorthAmerica
hCoV-19,USA,VA-DCLS-0376,2020,EPI_ISL_463132,2020-05-12,NorthAmerica
hCoV-19,India,UT-AR17,2020,EPI_ISL_508164,2020-05-27,Asia
hCoV-19,England,NOTT-11269F,2020,EPI_ISL_490562,2020-07-04,Europe
hCoV-19,Ireland,LK-NVRL-72IRL07419,2020,EPI_ISL_528443,2020-08-09,Europe
hCoV-19,Wales,PHWC-15C0AA,2020,EPI_ISL_472433,2020-04-20,Europe
hCoV-19,France,HF3036,2020,EPI_ISL_420053,2020-03-19,Europe
hCoV-19,Scotland,CVR2453,2020,EPI_ISL_477944,2020-04-14,Europe
hCoV-19,Peru,LIM-INS-024,2020,EPI_ISL_491429,2020-03-25,SouthAmerica
hCoV-19,Portugal,PT0750,2020,EPI_ISL_511009,2020-03-23,Europe
hCoV-19,USA,WA-S845,2020,EPI_ISL_463335,2020-04-23,NorthAmerica
hCoV-19,Mexico,CHP-InDRE-23,2020,EPI_ISL_493338,2020-05-04,NorthAmerica
hCoV-19,USA,UN-UW382,2020,EPI_ISL_418947,2020-03-16,NorthAmerica
hCoV-19,South Africa,KRISP-K002544,2020,EPI_ISL_535414,2020-07-30,Africa
hCoV-19,England,CAMB-76515,2020,EPI_ISL_438475,2020-03-29,Europe
hCoV-19,USA,WI-WSLH-200061,2020,EPI_ISL_471226,2020-04-13,NorthAmerica
hCoV-19,England,QEUH-962DA2,2020,EPI_ISL_531736,2020-08-11,Europe
hCoV-19,Australia,VIC4907,2020,EPI_ISL_519283,2020-07-14,Oceania
hCoV-19,Canada,QC-LSPQ-L00232113,2020,EPI_ISL_535979,2020-03-22,NorthAmerica
hCoV-19,England,SHEF-C3E78,2020,EPI_ISL_441955,2020-04-12,Europe
hCoV-19,Iceland,577,2020,EPI_ISL_424597,2020-03-27,Europe
hCoV-19,Wales,PHWC-2A6C2,2020,EPI_ISL_445606,2020-04-05,Europe
hCoV-19,Singapore,782,2020,EPI_ISL_509392,2020-06-18,Asia
hCoV-19,USA,UT-08710,2020,EPI_ISL_524768,2020-05-18,NorthAmerica
hCoV-19,Turkey,KU-035,2020,EPI_ISL_495445,2020-06-17,Europe
hCoV-19,England,SHEF-CE833,2020,EPI_ISL_499347,2020-04-06,Europe
hCoV-19,USA,MI-MDHHS-SC21564,2020,EPI_ISL_516291,2020-03-20,NorthAmerica
hCoV-19,Australia,VIC2878,2020,EPI_ISL_521709,2020-07-06,Oceania
hCoV-19,England,20128037306,2020,EPI_ISL_423955,2020-03-18,Europe
hCoV-19,Scotland,EDB6211,2020,EPI_ISL_473915,2020-05-19,Europe
hCoV-19,Spain,RI-IBV-99005900,2020,EPI_ISL_537439,2020-03-20,Europe
hCoV-19,Switzerland,BS-UHB-42202078,2020,EPI_ISL_528317,2020-03-22,Europe
hCoV-19,Australia,VIC4280,2020,EPI_ISL_519608,2020-07-14,Oceania
hCoV-19,Shanghai,SH0070,2020,EPI_ISL_416373,2020-02-07,Asia
hCoV-19,India,OR-ILSCV24917,2020,EPI_ISL_463088,2020-05-18,Asia
hCoV-19,England,LEED-2A9711,2020,EPI_ISL_538764,2020-04-12,Europe
hCoV-19,England,BRIS-128951,2020,EPI_ISL_458790,2020-04-14,Europe
hCoV-19,USA,TX-DSHS-0344,2020,EPI_ISL_538282,2020-06-13,NorthAmerica
hCoV-19,England,CAMB-7C685,2020,EPI_ISL_441547,2020-04-06,Europe
hCoV-19,Portugal,PT0016,2020,EPI_ISL_418001,2020-03-10,Europe
hCoV-19,England,SHEF-C6640,2020,EPI_ISL_453720,2020-04-22,Europe
hCoV-19,England,QEUH-964DEC,2020,EPI_ISL_530955,2020-08-11,Europe
hCoV-19,USA,UT-UPHL-2009287,2020,EPI_ISL_525266,2020-05-18,NorthAmerica
hCoV-19,Australia,VIC3081,2020,EPI_ISL_520788,2020-07-10,Oceania
hCoV-19,Australia,VIC1319,2020,EPI_ISL_430700,2020-04-11,Oceania
hCoV-19,England,SHEF-C086E,2020,EPI_ISL_420163,2020-03-25,Europe
hCoV-19,USA,LA-GBCL-26684493,2020,EPI_ISL_485303,2020-04-10,NorthAmerica
hCoV-19,USA,CA-ALSR-0843-IPL,2020,EPI_ISL_483394,2020-05-01,NorthAmerica
hCoV-19,Switzerland,BS-UHB-42184828,2020,EPI_ISL_527980,2020-03-10,Europe
hCoV-19,South Africa,KRISP-K000650,2020,EPI_ISL_509294,2020-07-13,Africa
hCoV-19,Scotland,EDB1436,2020,EPI_ISL_433447,2020-04-12,Europe
hCoV-19,England,NORT-284DDE,2020,EPI_ISL_488574,2020-03-27,Europe
hCoV-19,Spain,AR-ISCIII-201672,2020,EPI_ISL_539507,2020-03-07,Europe
hCoV-19,Netherlands,NB-EMC-237,2020,EPI_ISL_523360,2020-06-03,Europe
hCoV-19,England,SHEF-CB0F2,2020,EPI_ISL_432502,2020-03-25,Europe
hCoV-19,England,CAMB-1AB65F,2020,EPI_ISL_470332,2020-04-21,Europe
hCoV-19,England,20102003704,2020,EPI_ISL_464274,2020-03-01,Europe
hCoV-19,DRC,6784,2020,EPI_ISL_495636,2020-05-11,Africa
hCoV-19,England,CAMB-7D10B,2020,EPI_ISL_442338,2020-04-06,Europe
hCoV-19,India,TG-CCMB-L1023,2020,EPI_ISL_495162,2020-05-11,Asia
hCoV-19,England,CAMB-7D693,2020,EPI_ISL_441769,2020-04-07,Europe
hCoV-19,England,SHEF-C9D39,2020,EPI_ISL_432475,2020-03-21,Europe
hCoV-19,USA,VA-DCLS-0533,2020,EPI_ISL_485834,2020-03-11,NorthAmerica
hCoV-19,South Africa,R10519,2020,EPI_ISL_490284,2020-06-08,Africa
hCoV-19,Hungary,SRC-00278w,2020,EPI_ISL_435427,2020-03-25,Europe
hCoV-19,England,NORT-29C84B,2020,EPI_ISL_488132,2020-04-23,Europe
hCoV-19,USA,LA-BIE-032,2020,EPI_ISL_463280,2020-04-06,NorthAmerica
hCoV-19,Sweden,20-14827,2020,EPI_ISL_469063,2020-05-19,Europe
hCoV-19,Portugal,PT0849,2020,EPI_ISL_511108,2020-03-27,Europe
hCoV-19,Australia,VIC3595,2020,EPI_ISL_520341,2020-07-09,Oceania
hCoV-19,USA,WA-S688,2020,EPI_ISL_449858,2020-04-08,NorthAmerica
hCoV-19,USA,WA-S1840,2020,EPI_ISL_496266,2020-05-27,NorthAmerica
hCoV-19,Wales,PHWC-169A9D,2020,EPI_ISL_514574,2020-07-28,Europe
hCoV-19,Wales,PHWC-2ECEA,2020,EPI_ISL_446140,2020-04-07,Europe
hCoV-19,USA,TX-HMH0144,2020,EPI_ISL_434843,2020-03-22,NorthAmerica
hCoV-19,USA,WA-S2463,2020,EPI_ISL_497095,2020-06-14,NorthAmerica
hCoV-19,England,CAMB-1ADF07,2020,EPI_ISL_459413,2020-04-26,Europe
hCoV-19,USA,UT-UPHL-2008936,2020,EPI_ISL_525041,2020-05-26,NorthAmerica
hCoV-19,South Africa,R10836,2020,EPI_ISL_490309,2020-06-18,Africa
hCoV-19,Latvia,107,2020,EPI_ISL_515194,2020-08-05,Europe
hCoV-19,England,BRIS-12C243,2020,EPI_ISL_469437,2020-05-10,Europe
hCoV-19,USA,VA-DCLS-0299,2020,EPI_ISL_463102,2020-05-18,NorthAmerica
hCoV-19,USA,WI-UW-767,2020,EPI_ISL_495472,2020-07-03,NorthAmerica
hCoV-19,England,LEED-2A941A,2020,EPI_ISL_538831,2020-04-14,Europe
hCoV-19,USA,MD-MDH-0035,2020,EPI_ISL_481280,2020-04-07,NorthAmerica
hCoV-19,Poland,IHG_PAS_3_57,2020,EPI_ISL_462480,2020-05-13,Europe
hCoV-19,Scotland,EDB607,2020,EPI_ISL_433214,2020-04-01,Europe
hCoV-19,USA,WA-S355,2020,EPI_ISL_434115,2020-03-25,NorthAmerica
hCoV-19,England,20142019504,2020,EPI_ISL_423443,2020-03-30,Europe
hCoV-19,Australia,NSW834,2020,EPI_ISL_526176,2020-08-06,Oceania
hCoV-19,New Zealand,20VR0994,2020,EPI_ISL_456177,2020-03-17,Oceania
hCoV-19,Denmark,ALAB-SSI425A,2020,EPI_ISL_429524,2020-03-24,Europe
hCoV-19,USA,MN-MDH-1084,2020,EPI_ISL_470764,2020-06-03,NorthAmerica
hCoV-19,England,NOTT-110260,2020,EPI_ISL_441489,2020-04-11,Europe
hCoV-19,England,NORT-282B4F,2020,EPI_ISL_488565,2020-03-28,Europe
hCoV-19,England,20119030104,2020,EPI_ISL_465041,2020-03-14,Europe
hCoV-19,Wales,PHWC-165CB9,2020,EPI_ISL_490789,2020-05-14,Europe
hCoV-19,USA,WA-S2022,2020,EPI_ISL_497450,2020-06-05,NorthAmerica
hCoV-19,USA,WA-UW-3069,2020,EPI_ISL_486088,2020-03-27,NorthAmerica
hCoV-19,Sweden,20-08690,2020,EPI_ISL_429133,2020-03-26,Europe
hCoV-19,England,NORT-29504A,2020,EPI_ISL_478629,2020-03-29,Europe
hCoV-19,England,BRIS-123A35,2020,EPI_ISL_442764,2020-04-07,Europe
hCoV-19,Australia,VIC417,2020,EPI_ISL_426717,2020-03-25,Oceania
hCoV-19,England,NORT-29CD2E,2020,EPI_ISL_499791,2020-05-01,Europe
hCoV-19,England,BRIS-127D65,2020,EPI_ISL_469668,2020-04-17,Europe
hCoV-19,Iceland,79,2020,EPI_ISL_417679,2020-03-09,Europe
hCoV-19,England,CAMB-1B2DAB,2020,EPI_ISL_456725,2020-05-19,Europe
hCoV-19,England,SHEF-CAB01,2020,EPI_ISL_493697,2020-07-03,Europe
hCoV-19,England,NORW-E6ECA,2020,EPI_ISL_448989,2020-04-20,Europe
hCoV-19,England,NORW-E80A4,2020,EPI_ISL_449103,2020-04-13,Europe
hCoV-19,Scotland,CVR2288,2020,EPI_ISL_477894,2020-04-12,Europe
hCoV-19,England,BIRM-60244,2020,EPI_ISL_529365,2020-07-20,Europe
hCoV-19,Scotland,CVR4049,2020,EPI_ISL_535143,2020-08-30,Europe
hCoV-19,Ireland,LH-NVRL-71IRL81038,2020,EPI_ISL_512098,2020-07-24,Europe
hCoV-19,England,SHEF-C4132,2020,EPI_ISL_441959,2020-03-25,Europe
hCoV-19,England,CAMB-7772D,2020,EPI_ISL_439414,2020-03-31,Europe
hCoV-19,Wales,PHWC-3126A,2020,EPI_ISL_474323,2020-04-10,Europe
hCoV-19,England,BRIS-122456,2020,EPI_ISL_440630,2020-04-03,Europe
hCoV-19,England,CAMB-80DA7,2020,EPI_ISL_442832,2020-04-10,Europe
hCoV-19,Panama,335546,2020,EPI_ISL_496815,2020-04-02,NorthAmerica
hCoV-19,England,OXON-AC9B0,2020,EPI_ISL_448500,2020-04-05,Europe
hCoV-19,England,LOND-D3798,2020,EPI_ISL_440984,2020-03-31,Europe
hCoV-19,USA,WA-UW-5388,2020,EPI_ISL_486102,2020-04-05,NorthAmerica
hCoV-19,USA,IL-NM057,2020,EPI_ISL_444553,2020-03-18,NorthAmerica
hCoV-19,England,BRIS-12F6DB,2020,EPI_ISL_488228,2020-03-08,Europe
hCoV-19,India,WB-IK16,2020,EPI_ISL_508345,2020-04-24,Asia
hCoV-19,USA,CA-CZB-1533,2020,EPI_ISL_468478,2020-04-30,NorthAmerica
hCoV-19,England,20144001904,2020,EPI_ISL_423478,2020-03-30,Europe
hCoV-19,Netherlands,NA_31,2020,EPI_ISL_415488,2020-03-13,Europe
hCoV-19,Russia,StPetersburg-RII14570V,2020,EPI_ISL_507257,2020-05-14,Europe
hCoV-19,Wuhan,0126-C43,2020,EPI_ISL_493175,2020-01-26,Asia
hCoV-19,Portugal,PT0523,2020,EPI_ISL_454247,2020-03-23,Europe
hCoV-19,Wales,PHWC-15D20D,2020,EPI_ISL_472684,2020-05-05,Europe
hCoV-19,England,NORT-2846E2,2020,EPI_ISL_478564,2020-03-24,Europe
hCoV-19,USA,WA-UW-1865,2020,EPI_ISL_424330,2020-03-23,NorthAmerica
hCoV-19,USA,MI-MDHHS-SC20861,2020,EPI_ISL_471882,2020-04-29,NorthAmerica
hCoV-19,USA,MI-MDHHS-SC21055,2020,EPI_ISL_507831,2020-03-27,NorthAmerica
hCoV-19,Hong Kong,HKPU57-0702,2020,EPI_ISL_419227,2020-02-15,Asia
hCoV-19,Australia,VIC4239,2020,EPI_ISL_519567,2020-07-15,Oceania
hCoV-19,USA,MA-MGH-00179,2020,EPI_ISL_460451,2020-03-26,NorthAmerica
hCoV-19,Sweden,20-06928,2020,EPI_ISL_434660,2020-04-06,Europe
hCoV-19,India,GJ-GBRC-395b,2020,EPI_ISL_524765,2020-07-06,Asia
hCoV-19,England,QEUH-95F86B,2020,EPI_ISL_532323,2020-08-06,Europe
hCoV-19,England,QEUH-96AD9B,2020,EPI_ISL_531389,2020-08-15,Europe
hCoV-19,Scotland,QEUH-961FE9,2020,EPI_ISL_531788,2020-08-10,Europe
hCoV-19,Singapore,876,2020,EPI_ISL_536417,2020-08-28,Asia
hCoV-19,Israel,2089723,2020,EPI_ISL_447365,2020-04-01,Asia
hCoV-19,Spain,IB-IBV-2515,2020,EPI_ISL_469007,2020-03-21,Europe
hCoV-19,USA,SC-20-1402-T08,2020,EPI_ISL_516760,2020-07-01,NorthAmerica
hCoV-19,England,CAMB-81939,2020,EPI_ISL_443066,2020-04-12,Europe
hCoV-19,Belgium,ULG-10167,2020,EPI_ISL_447161,2020-04-19,Europe
hCoV-19,Wuhan,HB-WH5-231,2020,EPI_ISL_454974,2020-02-17,Asia
hCoV-19,Wales,PHWC-164ED2,2020,EPI_ISL_479394,2020-05-28,Europe
hCoV-19,USA,WA-S2560,2020,EPI_ISL_497192,2020-06-17,NorthAmerica
hCoV-19,Montenegro,ChVir-1794332002,2020,EPI_ISL_516926,2020-07-17,Europe
hCoV-19,England,PORT-2D0EEF,2020,EPI_ISL_475302,2020-04-24,Europe
hCoV-19,England,NORT-2922FC,2020,EPI_ISL_489082,2020-05-08,Europe
hCoV-19,Spain,MD-IBV-005333,2020,EPI_ISL_510211,2020-03-17,Europe
hCoV-19,Australia,VIC6177,2020,EPI_ISL_518182,2020-07-22,Oceania
hCoV-19,England,EKHU-260EFCD,2020,EPI_ISL_501628,2020-03-30,Europe
hCoV-19,Scotland,GCVR-173034,2020,EPI_ISL_524556,2020-04-06,Europe
hCoV-19,USA,CA-ALSR-0503-SAN,2020,EPI_ISL_483187,2020-04-02,NorthAmerica
hCoV-19,Switzerland,TI-ETHZ-190011,2020,EPI_ISL_500877,2020-07-03,Europe
hCoV-19,USA,WA-S1674,2020,EPI_ISL_496100,2020-05-29,NorthAmerica
hCoV-19,England,SHEF-C7928,2020,EPI_ISL_457620,2020-05-02,Europe
hCoV-19,Wales,PHWC-2A932,2020,EPI_ISL_445638,2020-04-07,Europe
hCoV-19,USA,OR-PROV-037,2020,EPI_ISL_482319,2020-03-26,NorthAmerica
hCoV-19,England,BIRM-60833,2020,EPI_ISL_483893,2020-06-19,Europe
hCoV-19,USA,PA-MGEL103,2020,EPI_ISL_454382,2020-03-31,NorthAmerica
